Position,Bar,Beat,Tick,Type,Channel,Note,Note_Name,Velocity,Duration_Ticks,Off_Position,Controller,Value
1.1.0,1,1,0,Meta_track_name,,,,,,,,Lights
1.1.11,1,1,11,Note,0,33,A1,100,229,1.1.240,,
106.1.0,106,1,0,Note,0,48,C3,100,120,106.1.120,,
106.1.120,106,1,120,Meta_end_of_track,,,,,,,,
