Position,Bar,Beat,Tick,Type,Channel,Note,Note_Name,Velocity,Duration_Ticks,Off_Position,Controller,Value
1.1.0,1,1,0,Meta_track_name,,,,,,,,GP200 midi
1.2.0,1,2,0,program_change,2,,,,,,,17
1.2.0,1,2,0,Meta_end_of_track,,,,,,,,
